variable,type,n,prev_ai,prev_a,prev_b,ai_vs_a_pct,ai_vs_a_kappa,ai_vs_a_kappa_lo,ai_vs_a_kappa_hi,ai_vs_a_pabak,ai_vs_a_alpha,ai_vs_b_pct,ai_vs_b_kappa,ai_vs_b_kappa_lo,ai_vs_b_kappa_hi,ai_vs_b_pabak,ai_vs_b_alpha,a_vs_b_pct,a_vs_b_kappa,a_vs_b_kappa_lo,a_vs_b_kappa_hi,a_vs_b_pabak,a_vs_b_alpha
bar_bias_equity,binary,100,0.36,0.28,0.3,88.0,0.7263,0.5709,0.8627,0.76,0.7256,88.0,0.7297,0.5747,0.8622,0.76,0.73,96.0,0.9029,0.7972,0.9772,0.92,0.9034
bar_clinician_trust,binary,100,0.52,0.49,0.49,93.0,0.8601,0.7546,0.9587,0.86,0.8607,95.0,0.9001,0.8013,0.9798,0.9,0.9005,94.0,0.88,0.7789,0.96,0.88,0.8806
bar_cost_resources,binary,100,0.45,0.47,0.39,82.0,0.6378,0.48,0.78,0.64,0.6395,92.0,0.8364,0.7026,0.9373,0.84,0.8366,82.0,0.6352,0.4804,0.775,0.64,0.6346
bar_data_fragmentation,binary,100,0.56,0.55,0.47,83.0,0.6559,0.4988,0.7993,0.66,0.6576,85.0,0.7021,0.56,0.8209,0.7,0.7012,80.0,0.6024,0.4453,0.7419,0.6,0.6018
bar_liability_risk,binary,100,0.53,0.5,0.47,93.0,0.86,0.7562,0.959,0.86,0.8606,90.0,0.8007,0.6769,0.919,0.8,0.801,87.0,0.74,0.6005,0.8601,0.74,0.7411
bar_payment_misalign,binary,100,0.62,0.59,0.56,93.0,0.8537,0.7336,0.9566,0.86,0.8543,94.0,0.8764,0.7746,0.9592,0.88,0.8766,93.0,0.8569,0.7504,0.958,0.86,0.8575
bar_privacy_constraints,binary,100,0.42,0.24,0.15,80.0,0.5637,0.3973,0.7191,0.6,0.55,71.0,0.3468,0.1931,0.5047,0.42,0.292,83.0,0.4654,0.2407,0.6753,0.66,0.4612
bar_reg_uncertainty,binary,100,0.73,0.75,0.66,86.0,0.6364,0.4413,0.8017,0.72,0.638,89.0,0.742,0.5911,0.8721,0.78,0.7418,81.0,0.5476,0.3546,0.7093,0.62,0.5455
clinical_perspective,binary,100,0.5,0.39,0.56,85.0,0.7,0.5577,0.8207,0.7,0.6978,88.0,0.76,0.6218,0.8798,0.76,0.7603,79.0,0.5908,0.4378,0.7253,0.58,0.5811
commenter_type,multiclass,100,,,,67.0,0.6181,0.5134,0.7167,0.34,0.6153,60.0,0.5411,0.4352,0.6422,0.2,0.5357,91.0,0.896,0.827,0.9533,0.82,0.8964
evidence_type,multiclass,100,,,,73.0,0.6421,0.527,0.7499,0.46,0.6416,83.0,0.7728,0.6707,0.8626,0.66,0.773,81.0,0.7432,0.6307,0.8384,0.62,0.7442
has_cfr_citation,binary,100,0.33,0.29,0.32,96.0,0.9067,0.8072,0.9779,0.92,0.907,97.0,0.9316,0.8451,1.0,0.94,0.932,95.0,0.8822,0.7743,0.9755,0.9,0.8827
patient_perspective,binary,100,0.09,0.01,0.09,92.0,0.1853,0.0,0.5247,0.84,0.1621,100.0,1.0,1.0,1.0,1.0,1.0,92.0,0.1853,0.0,0.5247,0.84,0.1621
pos_evaluation,multiclass,100,,,,84.0,0.7214,0.5968,0.8315,0.68,0.7191,85.0,0.7386,0.6134,0.8465,0.7,0.7376,95.0,0.9168,0.8353,0.9831,0.9,0.9172
pos_interoperability,multiclass,100,,,,86.0,0.8081,0.7078,0.8937,0.72,0.8087,86.0,0.8092,0.7085,0.9003,0.72,0.8097,96.0,0.9458,0.8902,0.9868,0.92,0.9461
pos_liability,multiclass,100,,,,90.0,0.8409,0.7465,0.9297,0.8,0.8414,94.0,0.9077,0.8337,0.9694,0.88,0.9081,90.0,0.8424,0.7426,0.9355,0.8,0.8426
pos_oversight,multiclass,100,,,,81.0,0.6958,0.5713,0.8074,0.62,0.6934,78.0,0.6508,0.5279,0.7692,0.56,0.6485,93.0,0.8929,0.8077,0.968,0.86,0.8933
pos_regulation,multiclass,100,,,,89.0,0.8529,0.7685,0.9313,0.78,0.8535,84.0,0.787,0.6864,0.8791,0.68,0.7876,95.0,0.9335,0.8671,0.9864,0.9,0.9339
pos_reimbursement,multiclass,100,,,,79.0,0.7186,0.6146,0.8151,0.58,0.7187,80.0,0.7313,0.6262,0.829,0.6,0.7325,78.0,0.7001,0.5852,0.7983,0.56,0.7008
top_admin_burden,binary,100,0.6,0.53,0.48,85.0,0.6964,0.5465,0.8344,0.7,0.6964,86.0,0.7222,0.5918,0.8566,0.72,0.7196,87.0,0.7406,0.6005,0.8778,0.74,0.7413
top_equity,binary,100,0.54,0.35,0.49,75.0,0.5117,0.3629,0.664,0.5,0.4964,91.0,0.8203,0.699,0.92,0.82,0.8207,84.0,0.6781,0.5435,0.8017,0.68,0.6732
top_evaluation,binary,100,0.78,0.7,0.69,92.0,0.7938,0.646,0.9231,0.84,0.7931,89.0,0.7205,0.5609,0.8578,0.78,0.719,87.0,0.6934,0.5331,0.84,0.74,0.6949
top_fda_scope,binary,100,0.53,0.37,0.39,82.0,0.6455,0.5036,0.7816,0.64,0.6382,86.0,0.7236,0.5886,0.841,0.72,0.7196,80.0,0.5757,0.4025,0.7305,0.6,0.5777
top_interoperability,binary,100,0.64,0.67,0.63,89.0,0.7569,0.6095,0.8773,0.78,0.7578,97.0,0.9353,0.8523,1.0,0.94,0.9356,88.0,0.7367,0.5793,0.8649,0.76,0.7376
top_liability,binary,100,0.58,0.51,0.58,89.0,0.7793,0.6505,0.8977,0.78,0.7793,94.0,0.8768,0.7724,0.9592,0.88,0.8775,89.0,0.7793,0.6493,0.8993,0.78,0.7793
top_privacy,binary,100,0.67,0.5,0.53,81.0,0.62,0.4792,0.7598,0.62,0.6106,84.0,0.6733,0.5314,0.819,0.68,0.6683,85.0,0.7,0.5437,0.8384,0.7,0.7012
top_regulation,binary,100,0.81,0.85,0.83,90.0,0.6466,0.397,0.8404,0.8,0.6474,90.0,0.6615,0.4394,0.8466,0.8,0.6629,94.0,0.777,0.5595,0.9322,0.88,0.7779
top_reimbursement,binary,100,0.67,0.66,0.62,95.0,0.8878,0.772,0.9764,0.9,0.8883,95.0,0.8911,0.7878,0.9772,0.9,0.8914,96.0,0.9133,0.823,0.9793,0.92,0.9136
top_safety,binary,100,0.81,0.63,0.7,82.0,0.5708,0.4041,0.734,0.64,0.5558,87.0,0.6543,0.4777,0.8169,0.74,0.6504,87.0,0.7098,0.5532,0.8491,0.74,0.7097
top_standards,binary,100,0.79,0.68,0.7,89.0,0.7219,0.5511,0.8603,0.78,0.719,91.0,0.7656,0.6032,0.8987,0.82,0.7643,96.0,0.9065,0.8096,0.9782,0.92,0.907
top_transparency,binary,100,0.66,0.52,0.55,86.0,0.7164,0.5723,0.8387,0.72,0.7121,89.0,0.7727,0.6445,0.8792,0.78,0.771,93.0,0.8594,0.7529,0.94,0.86,0.86
top_trust,binary,100,0.88,0.65,0.59,77.0,0.4041,0.236,0.5755,0.54,0.3635,71.0,0.3281,0.1815,0.4828,0.42,0.2593,82.0,0.6195,0.4485,0.7712,0.64,0.6199
top_workflow,binary,100,0.74,0.7,0.65,86.0,0.6535,0.4785,0.8061,0.72,0.6545,85.0,0.6495,0.4782,0.7931,0.7,0.648,85.0,0.6591,0.4967,0.8011,0.7,0.6598
top_workforce,binary,100,0.55,0.48,0.46,91.0,0.8207,0.7,0.9199,0.82,0.8207,87.0,0.7421,0.6077,0.8602,0.74,0.7413,90.0,0.7994,0.6705,0.9159,0.8,0.8003
