outcome_coalition,feature,beta,odds_ratio
Comprehensive Pragmatists,ctype_ADV,-0.458,0.633
Comprehensive Pragmatists,ctype_AIC,-0.5464,0.579
Comprehensive Pragmatists,ctype_HIT,0.4984,1.646
Comprehensive Pragmatists,ctype_HSP,0.148,1.159
Comprehensive Pragmatists,ctype_LAB,0.3222,1.38
Comprehensive Pragmatists,ctype_MPS,-0.5191,0.595
Comprehensive Pragmatists,ctype_PAY,-0.1282,0.88
Comprehensive Pragmatists,ctype_POL,0.0922,1.097
Comprehensive Pragmatists,ctype_TEC,0.0164,1.017
Comprehensive Pragmatists,n_proposals,0.2556,1.291
Comprehensive Pragmatists,topic_count,1.691,5.425
Comprehensive Pragmatists,has_cfr,0.1059,1.112
Limited Engagement,ctype_ADV,-0.1386,0.871
Limited Engagement,ctype_AIC,0.6778,1.969
Limited Engagement,ctype_HIT,0.7378,2.091
Limited Engagement,ctype_HSP,0.3437,1.41
Limited Engagement,ctype_LAB,0.2704,1.31
Limited Engagement,ctype_MPS,0.167,1.182
Limited Engagement,ctype_PAY,0.2733,1.314
Limited Engagement,ctype_POL,0.1069,1.113
Limited Engagement,ctype_TEC,0.4853,1.625
Limited Engagement,n_proposals,0.0936,1.098
Limited Engagement,topic_count,-1.4805,0.228
Limited Engagement,has_cfr,0.571,1.77
Selective Universalists,ctype_ADV,0.5966,1.816
Selective Universalists,ctype_AIC,-0.1313,0.877
Selective Universalists,ctype_HIT,-1.2362,0.29
Selective Universalists,ctype_HSP,-0.4916,0.612
Selective Universalists,ctype_LAB,-0.5926,0.553
Selective Universalists,ctype_MPS,0.3521,1.422
Selective Universalists,ctype_PAY,-0.1451,0.865
Selective Universalists,ctype_POL,-0.1991,0.819
Selective Universalists,ctype_TEC,-0.5017,0.606
Selective Universalists,n_proposals,-0.3492,0.705
Selective Universalists,topic_count,-0.2105,0.81
Selective Universalists,has_cfr,-0.6769,0.508
Comprehensive Pragmatists,(intercept),0.4088,—
Limited Engagement,(intercept),-0.544,—
Selective Universalists,(intercept),0.1352,—
