rfi_question,coalition,n_addressed,n_total,prevalence,ci_lo,ci_hi
1,Comprehensive Pragmatists,172,226,0.761,0.701,0.812
1,Selective Universalists,25,91,0.275,0.194,0.374
1,Limited Engagement,36,129,0.279,0.209,0.362
2,Comprehensive Pragmatists,167,226,0.739,0.678,0.792
2,Selective Universalists,22,91,0.242,0.165,0.339
2,Limited Engagement,35,129,0.271,0.202,0.354
3,Comprehensive Pragmatists,155,226,0.686,0.623,0.743
3,Selective Universalists,27,91,0.297,0.213,0.397
3,Limited Engagement,18,129,0.14,0.09,0.21
4,Comprehensive Pragmatists,140,226,0.619,0.555,0.68
4,Selective Universalists,21,91,0.231,0.156,0.327
4,Limited Engagement,11,129,0.085,0.048,0.146
5,Comprehensive Pragmatists,143,226,0.633,0.568,0.693
5,Selective Universalists,26,91,0.286,0.203,0.386
5,Limited Engagement,20,129,0.155,0.103,0.227
6,Comprehensive Pragmatists,137,226,0.606,0.541,0.668
6,Selective Universalists,14,91,0.154,0.094,0.242
6,Limited Engagement,16,129,0.124,0.078,0.192
7,Comprehensive Pragmatists,136,226,0.602,0.537,0.663
7,Selective Universalists,14,91,0.154,0.094,0.242
7,Limited Engagement,11,129,0.085,0.048,0.146
8,Comprehensive Pragmatists,140,226,0.619,0.555,0.68
8,Selective Universalists,14,91,0.154,0.094,0.242
8,Limited Engagement,26,129,0.202,0.141,0.279
9,Comprehensive Pragmatists,126,226,0.558,0.492,0.621
9,Selective Universalists,19,91,0.209,0.138,0.303
9,Limited Engagement,18,129,0.14,0.09,0.21
10,Comprehensive Pragmatists,128,226,0.566,0.501,0.629
10,Selective Universalists,17,91,0.187,0.12,0.279
10,Limited Engagement,11,129,0.085,0.048,0.146
